GICS,Ishares,Vanguard,Amundi
Information Technology,IT,Technology,Information Technology
Consumer Discretionary,Consumi Discrezionali,Consumer Discretionary,Beni voluttuari
Communication Services,Comunicazione,Telecommunications,Servizi di comunicazione
Health Care,Salute,Health Care,Sanità
Financials,Finanziari,Financials,Finanziari
Energy,Energia,Energy,Energia
Consumer Staples,Generi di largo consumo,Consumer Staples,Beni di prima necessità
Materials,Materiali,Basic Materials,Materiali
Industrials,Industriali,Industrials,Industrali
Utilities,Imprese di servizi di pubblica utilità,Utilities,Beni di pubblica utilità
Real Estate,Immobili,Real Estate,Immobiliare