Date,EUR/USD
1999-01-31,1.1608
1999-02-28,1.1208
1999-03-31,1.0883
1999-04-30,1.0704
1999-05-31,1.0628
1999-06-30,1.0378
1999-07-31,1.0353
1999-08-31,1.0604
1999-09-30,1.0501
1999-10-31,1.0706
1999-11-30,1.0338
1999-12-31,1.0110
2000-01-31,1.0137
2000-02-29,0.9834
2000-03-31,0.9643
2000-04-30,0.9470
2000-05-31,0.9060
2000-06-30,0.9492
2000-07-31,0.9397
2000-08-31,0.9041
2000-09-30,0.8721
2000-10-31,0.8552
2000-11-30,0.8564
2000-12-31,0.8973
2001-01-31,0.9383
2001-02-28,0.9217
2001-03-31,0.9095
2001-04-30,0.8920
2001-05-31,0.8742
2001-06-30,0.8532
2001-07-31,0.8607
2001-08-31,0.9005
2001-09-30,0.9111
2001-10-31,0.9059
2001-11-30,0.8883
2001-12-31,0.8924
2002-01-31,0.8833
2002-02-28,0.8700
2002-03-31,0.8758
2002-04-30,0.8858
2002-05-31,0.9170
2002-06-30,0.9554
2002-07-31,0.9922
2002-08-31,0.9778
2002-09-30,0.9808
2002-10-31,0.9811
2002-11-30,1.0014
2002-12-31,1.0183
2003-01-31,1.0622
2003-02-28,1.0773
2003-03-31,1.0807
2003-04-30,1.0848
2003-05-31,1.1582
2003-06-30,1.1663
2003-07-31,1.1372
2003-08-31,1.1139
2003-09-30,1.1222
2003-10-31,1.1692
2003-11-30,1.1702
2003-12-31,1.2286
2004-01-31,1.2613
2004-02-29,1.2646
2004-03-31,1.2262
2004-04-30,1.1985
2004-05-31,1.2007
2004-06-30,1.2138
2004-07-31,1.2266
2004-08-31,1.2176
2004-09-30,1.2218
2004-10-31,1.2490
2004-11-30,1.2991
2004-12-31,1.3408
2005-01-31,1.3119
2005-02-28,1.3014
2005-03-31,1.3201
2005-04-30,1.2938
2005-05-31,1.2694
2005-06-30,1.2165
2005-07-31,1.2037
2005-08-31,1.2292
2005-09-30,1.2256
2005-10-31,1.2015
2005-11-30,1.1786
2005-12-31,1.1856
2006-01-31,1.2103
2006-02-28,1.1938
2006-03-31,1.2020
2006-04-30,1.2271
2006-05-31,1.2770
2006-06-30,1.2650
2006-07-31,1.2684
2006-08-31,1.2811
2006-09-30,1.2727
2006-10-31,1.2611
2006-11-30,1.2881
2006-12-31,1.3213
2007-01-31,1.2999
2007-02-28,1.3074
2007-03-31,1.3242
2007-04-30,1.3516
2007-05-31,1.3511
2007-06-30,1.3419
2007-07-31,1.3716
2007-08-31,1.3622
2007-09-30,1.3896
2007-10-31,1.4227
2007-11-30,1.4684
2007-12-31,1.4570
2008-01-31,1.4718
2008-02-29,1.4748
2008-03-31,1.5527
2008-04-30,1.5751
2008-05-31,1.5557
2008-06-30,1.5553
2008-07-31,1.5770
2008-08-31,1.4975
2008-09-30,1.4370
2008-10-31,1.3322
2008-11-30,1.2732
2008-12-31,1.3449
2009-01-31,1.3239
2009-02-28,1.2785
2009-03-31,1.3050
2009-04-30,1.3190
2009-05-31,1.3650
2009-06-30,1.4016
2009-07-31,1.4088
2009-08-31,1.4268
2009-09-30,1.4562
2009-10-31,1.4816
2009-11-30,1.4914
2009-12-31,1.4614
2010-01-31,1.4272
2010-02-28,1.3686
2010-03-31,1.3569
2010-04-30,1.3406
2010-05-31,1.2565
2010-06-30,1.2209
2010-07-31,1.2770
2010-08-31,1.2894
2010-09-30,1.3067
2010-10-31,1.3898
2010-11-30,1.3661
2010-12-31,1.3220
2011-01-31,1.3360
2011-02-28,1.3649
2011-03-31,1.3999
2011-04-30,1.4442
2011-05-31,1.4349
2011-06-30,1.4388
2011-07-31,1.4264
2011-08-31,1.4343
2011-09-30,1.3770
2011-10-31,1.3706
2011-11-30,1.3556
2011-12-31,1.3179
2012-01-31,1.2905
2012-02-29,1.3224
2012-03-31,1.3201
2012-04-30,1.3162
2012-05-31,1.2789
2012-06-30,1.2526
2012-07-31,1.2288
2012-08-31,1.2400
2012-09-30,1.2856
2012-10-31,1.2974
2012-11-30,1.2828
2012-12-31,1.3119
2013-01-31,1.3288
2013-02-28,1.3359
2013-03-31,1.2964
2013-04-30,1.3026
2013-05-31,1.2982
2013-06-30,1.3189
2013-07-31,1.3080
2013-08-31,1.3310
2013-09-30,1.3348
2013-10-31,1.3635
2013-11-30,1.3493
2013-12-31,1.3704
2014-01-31,1.3610
2014-02-28,1.3659
2014-03-31,1.3823
2014-04-30,1.3813
2014-05-31,1.3732
2014-06-30,1.3592
2014-07-31,1.3539
2014-08-31,1.3316
2014-09-30,1.2901
2014-10-31,1.2673
2014-11-30,1.2472
2014-12-31,1.2331
2015-01-31,1.1621
2015-02-28,1.1350
2015-03-31,1.0838
2015-04-30,1.0779
2015-05-31,1.1150
2015-06-30,1.1213
2015-07-31,1.0996
2015-08-31,1.1139
2015-09-30,1.1221
2015-10-31,1.1235
2015-11-30,1.0736
2015-12-31,1.0877
2016-01-31,1.0860
2016-02-29,1.1093
2016-03-31,1.1100
2016-04-30,1.1339
2016-05-31,1.1311
2016-06-30,1.1229
2016-07-31,1.1069
2016-08-31,1.1212
2016-09-30,1.1212
2016-10-31,1.1026
2016-11-30,1.0799
2016-12-31,1.0543
2017-01-31,1.0614
2017-02-28,1.0643
2017-03-31,1.0685
2017-04-30,1.0723
2017-05-31,1.1058
2017-06-30,1.1229
2017-07-31,1.1511
2017-08-31,1.1807
2017-09-30,1.1915
2017-10-31,1.1756
2017-11-30,1.1738
2017-12-31,1.1836
2018-01-31,1.2200
2018-02-28,1.2348
2018-03-31,1.2336
2018-04-30,1.2276
2018-05-31,1.1812
2018-06-30,1.1678
2018-07-31,1.1686
2018-08-31,1.1549
2018-09-30,1.1659
2018-10-31,1.1484
2018-11-30,1.1367
2018-12-31,1.1384
2019-01-31,1.1416
2019-02-28,1.1351
2019-03-31,1.1302
2019-04-30,1.1238
2019-05-31,1.1185
2019-06-30,1.1293
2019-07-31,1.1218
2019-08-31,1.1126
2019-09-30,1.1004
2019-10-31,1.1053
2019-11-30,1.1051
2019-12-31,1.1113
2020-01-31,1.1100
2020-02-29,1.0905
2020-03-31,1.1063
2020-04-30,1.0862
2020-05-31,1.0902
2020-06-30,1.1255
2020-07-31,1.1463
2020-08-31,1.1828
2020-09-30,1.1792
2020-10-31,1.1775
2020-11-30,1.1838
2020-12-31,1.2170
2021-01-31,1.2171
2021-02-28,1.2098
2021-03-31,1.1899
2021-04-30,1.1979
2021-05-31,1.2146
2021-06-30,1.2047
2021-07-31,1.1822
2021-08-31,1.1772
2021-09-30,1.1770
2021-10-31,1.1601
2021-11-30,1.1414
2021-12-31,1.1304
2022-01-31,1.1314
2022-02-28,1.1342
2022-03-31,1.1019
2022-04-30,1.0819
2022-05-31,1.0579
2022-06-30,1.0566
2022-07-31,1.0179
2022-08-31,1.0128
2022-09-30,0.9904
2022-10-31,0.9826
2022-11-30,1.0201
2022-12-31,1.0589
2023-01-31,1.0769
2023-02-28,1.0715
2023-03-31,1.0706
2023-04-30,1.0968
2023-05-31,1.0868
2023-06-30,1.0840
2023-07-31,1.1058
2023-08-31,1.0909
2023-09-30,1.0684
2023-10-31,1.0563
2023-11-30,1.0808
2023-12-31,1.0903
2024-01-31,1.0905
2024-02-29,1.0795
2024-03-31,1.0872
2024-04-30,1.0728
2024-05-31,1.0812
2024-06-30,1.0759
2024-07-31,1.0844
2024-08-31,1.1012
2024-09-30,1.1106
2024-10-31,1.0904
2024-11-30,1.0630
2024-12-31,1.0479